Time (s),InputForce (N), Displacement (mm) 
1.985 , 267.3021 , 0.440046991875352
1.99 , 285.3171 , 0.408757540184345
1.995 , 296.3064 , 0.367403121265497
2 , 300 , 0.317002018160045
2.005 , 296.3064 , 0.258795273298113
2.01 , 285.3171 , 0.194216129915308
2.015 , 267.3021 , 0.124854740847605
2.02 , 242.7051 , 0.0524190136911122
2.025 , 212.1321 , -0.0213074435511881
2.03 , 176.3355 , -0.0945092408179074
2.035 , 136.197 , -0.165383906917515
2.04 , 92.7051 , -0.232186272351082
2.045 , 46.9302 , -0.293271441177307
2.05 , 0 , -0.347135293809637
2.055 , -46.9302 , -0.392451523432389
2.06 , -92.7051 , -0.428104294076299
2.065 , -136.197 , -0.453215716203359
2.07 , -176.3355 , -0.467167463260765
2.075 , -212.1321 , -0.469615996932771
2.08 , -242.7051 , -0.460501026194154
2.085 , -267.3021 , -0.440046991875355
2.09 , -285.3171 , -0.408757540184346
2.095 , -296.3064 , -0.367403121265498
2.1 , -300 , -0.317002018160046
2.105 , -296.3064 , -0.258795273298114
2.11 , -285.3171 , -0.194216129915313
2.115 , -267.3021 , -0.124854740847604
2.12 , -242.7051 , -0.0524190136911106
2.125 , -212.1321 , 0.0213074435511897
2.13 , -176.3355 , 0.094509240817909
2.135 , -136.197 , 0.165383906917504
2.14 , -92.7051 , 0.232186272351083
2.145 , -46.9302 , 0.293271441177309
2.15 , 0 , 0.347135293809638
2.155 , 46.9302 , 0.392451523432386
2.16 , 92.7051 , 0.4281042940763
2.165 , 136.197 , 0.45321571620336
2.17 , 176.3355 , 0.467167463260765
2.175 , 212.1321 , 0.469615996932771
2.18 , 242.7051 , 0.460501026194154
2.185 , 267.3021 , 0.440046991875355
2.19 , 285.3171 , 0.408757540184345
2.195 , 296.3064 , 0.367403121265502
2.2 , 300 , 0.317002018160045
2.205 , 296.3064 , 0.258795273298113
2.21 , 285.3171 , 0.194216129915311
2.215 , 267.3021 , 0.124854740847615
2.22 , 242.7051 , 0.052419013691109
2.225 , 212.1321 , -0.0213074435511913
2.23 , 176.3355 , -0.0945092408179106
2.235 , 136.197 , -0.165383906917506
2.24 , 92.7051 , -0.232186272351079
2.245 , 46.9302 , -0.29327144117731
2.25 , 0 , -0.347135293809639
2.255 , -46.9302 , -0.392451523432387
2.26 , -92.7051 , -0.428104294076298
2.265 , -136.197 , -0.453215716203359
2.27 , -176.3355 , -0.467167463260765
2.275 , -212.1321 , -0.469615996932771
2.28 , -242.7051 , -0.460501026194155
2.285 , -267.3021 , -0.440046991875354
2.29 , -285.3171 , -0.408757540184348
2.295 , -296.3064 , -0.367403121265501
2.3 , -300 , -0.317002018160049
2.305 , -296.3064 , -0.258795273298111
2.31 , -285.3171 , -0.19421612991531
2.315 , -267.3021 , -0.124854740847613
2.32 , -242.7051 , -0.0524190136911141
2.325 , -212.1321 , 0.0213074435511929
2.33 , -176.3355 , 0.0945092408179121
2.335 , -136.197 , 0.165383906917507
2.34 , -92.7051 , 0.232186272351075
2.345 , -46.9302 , 0.293271441177311
2.35 , 0 , 0.34713529380964
2.355 , 46.9302 , 0.392451523432388
2.36 , 92.7051 , 0.428104294076298
2.365 , 136.197 , 0.453215716203359
2.37 , 176.3355 , 0.467167463260765
2.375 , 212.1321 , 0.469615996932771
2.38 , 242.7051 , 0.460501026194155
2.385 , 267.3021 , 0.440046991875356
2.39 , 285.3171 , 0.408757540184347
2.395 , 296.3064 , 0.3674031212655
2.4 , 300 , 0.317002018160048
2.405 , 296.3064 , 0.258795273298115
2.41 , 285.3171 , 0.194216129915308
2.415 , 267.3021 , 0.124854740847612
2.42 , 242.7051 , 0.0524190136911125
2.425 , 212.1321 , -0.0213074435511879
2.43 , 176.3355 , -0.0945092408179137
2.435 , 136.197 , -0.165383906917509
2.44 , 92.7051 , -0.232186272351076
2.445 , 46.9302 , -0.293271441177307
2.45 , 0 , -0.347135293809641
2.455 , -46.9302 , -0.392451523432389
2.46 , -92.7051 , -0.428104294076299
2.465 , -136.197 , -0.453215716203358
2.47 , -176.3355 , -0.467167463260765
2.475 , -212.1321 , -0.469615996932771
2.48 , -242.7051 , -0.460501026194155
2.485 , -267.3021 , -0.440046991875355
2.49 , -285.3171 , -0.408757540184346
2.495 , -296.3064 , -0.367403121265499
2.5 , -300 , -0.317002018160046
2.505 , -296.3064 , -0.258795273298114
2.51 , -285.3171 , -0.194216129915313
2.515 , -267.3021 , -0.12485474084761
2.52 , -242.7051 , -0.0524190136911109
2.525 , -212.1321 , 0.0213074435511895
2.53 , -176.3355 , 0.0945092408179087
2.535 , -136.197 , 0.16538390691751
2.54 , -92.7051 , 0.232186272351077
2.545 , -46.9302 , 0.293271441177308
2.55 , 0 , 0.347135293809638
2.555 , 46.9302 , 0.39245152343239
2.56 , 92.7051 , 0.4281042940763
2.565 , 136.197 , 0.453215716203358
2.57 , 176.3355 , 0.467167463260765
2.575 , 212.1321 , 0.469615996932771
2.58 , 242.7051 , 0.460501026194154
2.585 , 267.3021 , 0.440046991875355
2.59 , 285.3171 , 0.408757540184349
2.595 , 296.3064 , 0.367403121265502
2.6 , 300 , 0.317002018160045
2.605 , 296.3064 , 0.258795273298113
2.61 , 285.3171 , 0.194216129915312
2.615 , 267.3021 , 0.124854740847609
2.62 , 242.7051 , 0.0524190136911159
2.625 , 212.1321 , -0.0213074435511911
2.63 , 176.3355 , -0.0945092408179103
2.635 , 136.197 , -0.165383906917505
2.64 , 92.7051 , -0.232186272351079
2.645 , 46.9302 , -0.293271441177304
2.65 , 0 , -0.347135293809639
2.655 , -46.9302 , -0.392451523432387
2.66 , -92.7051 , -0.4281042940763
2.665 , -136.197 , -0.453215716203358
2.67 , -176.3355 , -0.467167463260764
2.675 , -212.1321 , -0.469615996932771
2.68 , -242.7051 , -0.460501026194154
2.685 , -267.3021 , -0.440046991875354
2.69 , -285.3171 , -0.408757540184348
2.695 , -296.3064 , -0.367403121265505
2.7 , -300 , -0.317002018160044
2.705 , -296.3064 , -0.258795273298111
2.71 , -285.3171 , -0.19421612991531
2.715 , -267.3021 , -0.124854740847614
2.72 , -242.7051 , -0.0524190136911143
2.725 , -212.1321 , 0.0213074435511927
2.73 , -176.3355 , 0.0945092408179119
2.735 , -136.197 , 0.165383906917507
2.74 , -92.7051 , 0.23218627235108
2.745 , -46.9302 , 0.293271441177306
2.75 , 0 , 0.34713529380964
2.755 , 46.9302 , 0.392451523432388
2.76 , 92.7051 , 0.428104294076298
2.765 , 136.197 , 0.453215716203359
2.77 , 176.3355 , 0.467167463260765
2.775 , 212.1321 , 0.469615996932771
2.78 , 242.7051 , 0.460501026194155
2.785 , 267.3021 , 0.440046991875354
2.79 , 285.3171 , 0.408757540184347
2.795 , 296.3064 , 0.367403121265504
2.8 , 300 , 0.317002018160048
2.805 , 296.3064 , 0.25879527329811
2.81 , 285.3171 , 0.194216129915309
2.815 , 267.3021 , 0.124854740847612
2.82 , 242.7051 , 0.0524190136911193
2.825 , 212.1321 , -0.0213074435511943
2.83 , 176.3355 , -0.0945092408179135
2.835 , 136.197 , -0.165383906917508
2.84 , 92.7051 , -0.232186272351076
2.845 , 46.9302 , -0.293271441177307
2.85 , 0 , -0.347135293809641
2.855 , -46.9302 , -0.392451523432389
2.86 , -92.7051 , -0.428104294076299
2.865 , -136.197 , -0.453215716203359
2.87 , -176.3355 , -0.467167463260765
2.875 , -212.1321 , -0.469615996932771
2.88 , -242.7051 , -0.460501026194155
2.885 , -267.3021 , -0.440046991875355
2.89 , -285.3171 , -0.408757540184346
2.895 , -296.3064 , -0.367403121265503
2.9 , -300 , -0.317002018160047
2.905 , -296.3064 , -0.258795273298114
2.91 , -285.3171 , -0.194216129915307
2.915 , -267.3021 , -0.12485474084761
2.92 , -242.7051 , -0.0524190136911177
2.925 , -212.1321 , 0.0213074435511893
2.93 , -176.3355 , 0.0945092408179151
2.935 , -136.197 , 0.16538390691751
2.94 , -92.7051 , 0.232186272351077
2.945 , -46.9302 , 0.293271441177303
2.95 , 0 , 0.347135293809642
2.955 , 46.9302 , 0.392451523432389
2.96 , 92.7051 , 0.4281042940763
2.965 , 136.197 , 0.453215716203358
2.97 , 176.3355 , 0.467167463260765
2.975 , 212.1321 , 0.469615996932771
2.98 , 242.7051 , 0.460501026194154
2.985 , 267.3021 , 0.440046991875355
2.99 , 285.3171 , 0.408757540184346
2.995 , 296.3064 , 0.367403121265502
3 , 300 , 0.31700201816005
3.005 , 296.3064 , 0.258795273298113
3.01 , 285.3171 , 0.194216129915312
3.015 , 267.3021 , 0.124854740847609
3.02 , 242.7051 , 0.0524190136911161
3.025 , 212.1321 , -0.0213074435511842
3.03 , 176.3355 , -0.0945092408179101
3.035 , 136.197 , -0.165383906917511
3.04 , 92.7051 , -0.232186272351079
3.045 , 46.9302 , -0.293271441177304
3.05 , 0 , -0.347135293809634
3.055 , -46.9302 , -0.39245152343239
3.06 , -92.7051 , -0.4281042940763
3.065 , -136.197 , -0.453215716203358
3.07 , -176.3355 , -0.467167463260764
3.075 , -212.1321 , -0.469615996932771
3.08 , -242.7051 , -0.460501026194154
3.085 , -267.3021 , -0.440046991875354
3.09 , -285.3171 , -0.408757540184348
3.095 , -296.3064 , -0.367403121265501
3.1 , -300 , -0.317002018160049
3.105 , -296.3064 , -0.258795273298112
3.11 , -285.3171 , -0.19421612991531
3.115 , -267.3021 , -0.124854740847607
3.12 , -242.7051 , -0.0524190136911145
3.125 , -212.1321 , 0.0213074435511858
3.13 , -176.3355 , 0.0945092408179117
3.135 , -136.197 , 0.165383906917507
3.14 , -92.7051 , 0.23218627235108
3.145 , -46.9302 , 0.293271441177306
3.15 , 0 , 0.347135293809635
3.155 , 46.9302 , 0.392451523432388
3.16 , 92.7051 , 0.428104294076301
3.165 , 136.197 , 0.453215716203359
3.17 , 176.3355 , 0.467167463260764
3.175 , 212.1321 , 0.469615996932771
3.18 , 242.7051 , 0.460501026194154
3.185 , 267.3021 , 0.440046991875354
3.19 , 285.3171 , 0.408757540184347
3.195 , 296.3064 , 0.367403121265504
3.2 , 300 , 0.317002018160048
3.205 , 296.3064 , 0.25879527329811
3.21 , 285.3171 , 0.194216129915309
3.215 , 267.3021 , 0.124854740847612
3.22 , 242.7051 , 0.0524190136911129
3.225 , 212.1321 , -0.0213074435511874
3.23 , 176.3355 , -0.0945092408179133
3.235 , 136.197 , -0.165383906917508
3.24 , 92.7051 , -0.232186272351081
3.245 , 46.9302 , -0.293271441177307
3.25 , 0 , -0.347135293809636
3.255 , -46.9302 , -0.392451523432388
3.26 , -92.7051 , -0.428104294076299
3.265 , -136.197 , -0.453215716203359
3.27 , -176.3355 , -0.467167463260765
3.275 , -212.1321 , -0.469615996932771
3.28 , -242.7051 , -0.460501026194155
3.285 , -267.3021 , -0.440046991875353
3.29 , -285.3171 , -0.408757540184347
3.295 , -296.3064 , -0.367403121265503
3.3 , -300 , -0.317002018160052
3.305 , -296.3064 , -0.258795273298109
3.31 , -285.3171 , -0.194216129915307
3.315 , -267.3021 , -0.124854740847611
3.32 , -242.7051 , -0.052419013691118
3.325 , -212.1321 , 0.021307443551189
3.33 , -176.3355 , 0.0945092408179148
3.335 , -136.197 , 0.16538390691751
3.34 , -92.7051 , 0.232186272351077
3.345 , -46.9302 , 0.293271441177308
3.35 , 0 , 0.347135293809638
